customer_id,signup_date,acquisition_channel,region,is_vip
C003613,2024-01-01,Email,North,1
C001746,2024-01-01,Paid Search,East,0
C004553,2024-01-01,Paid Search,East,0
C002459,2024-01-01,Organic,North,0
C000175,2024-01-01,Social,North,0
C005074,2024-01-01,Paid Search,North,0
C004118,2024-01-01,Social,South,0
C005038,2024-01-01,Social,South,0
C002443,2024-01-01,Organic,South,0
C000011,2024-01-01,Paid Search,West,0
C002968,2024-01-01,Direct,North,0
C003614,2024-01-02,Paid Search,South,0
C007961,2024-01-02,Paid Search,Central,0
C006937,2024-01-02,Social,West,0
C007635,2024-01-02,Organic,West,0
C001486,2024-01-02,Affiliate,West,0
C002644,2024-01-02,Paid Search,East,0
C004270,2024-01-02,Affiliate,West,0
C008654,2024-01-02,Affiliate,East,0
C005993,2024-01-02,Paid Search,East,0
C001375,2024-01-02,Social,North,0
C003104,2024-01-02,Social,West,0
C005650,2024-01-02,Organic,Central,0
C004246,2024-01-02,Organic,North,0
C002751,2024-01-02,Paid Search,South,0
C007365,2024-01-03,Paid Search,West,0
C006240,2024-01-03,Paid Search,West,0
C006786,2024-01-03,Paid Search,West,1
C001738,2024-01-03,Email,North,0
C003943,2024-01-03,Paid Search,Central,0
C006185,2024-01-03,Paid Search,Central,0
C002724,2024-01-03,Email,East,0
C004394,2024-01-03,Paid Search,East,0
C006395,2024-01-03,Organic,West,0
C002717,2024-01-03,Paid Search,North,0
C008900,2024-01-03,Paid Search,North,0
C006634,2024-01-03,Paid Search,South,0
C006024,2024-01-03,Affiliate,North,1
C003147,2024-01-03,Social,North,0
C003493,2024-01-04,Organic,Central,1
C007513,2024-01-04,Email,North,0
C003415,2024-01-04,Paid Search,Central,0
C008273,2024-01-04,Email,South,0
C001016,2024-01-04,Organic,North,0
C005029,2024-01-04,Email,North,0
C005300,2024-01-04,Organic,South,0
C002690,2024-01-04,Email,North,0
C008076,2024-01-04,Paid Search,North,0
C002702,2024-01-04,Paid Search,South,1
C003312,2024-01-04,Email,Central,0
C000536,2024-01-04,Direct,South,0
C006440,2024-01-04,Organic,North,0
C006152,2024-01-04,Organic,North,0
C008287,2024-01-04,Affiliate,South,0
C004401,2024-01-04,Social,North,0
C005281,2024-01-04,Email,South,0
C004309,2024-01-04,Social,North,0
C007282,2024-01-04,Organic,South,0
C004369,2024-01-04,Paid Search,East,0
C001162,2024-01-04,Organic,East,0
C004236,2024-01-05,Social,Central,0
C006585,2024-01-05,Organic,West,0
C001667,2024-01-05,Direct,East,0
C006261,2024-01-05,Organic,West,0
C006663,2024-01-05,Social,North,0
C000349,2024-01-05,Paid Search,North,0
C003393,2024-01-05,Organic,East,0
C002363,2024-01-05,Affiliate,North,0
C000388,2024-01-05,Paid Search,Central,0
C003090,2024-01-05,Email,South,0
C008212,2024-01-05,Paid Search,East,0
C005473,2024-01-06,Paid Search,North,0
C002199,2024-01-06,Paid Search,South,0
C002746,2024-01-06,Email,South,0
C007313,2024-01-06,Affiliate,North,0
C006029,2024-01-06,Organic,Central,0
C003070,2024-01-06,Paid Search,South,0
C002447,2024-01-06,Paid Search,Central,0
C004769,2024-01-06,Email,Central,0
C006202,2024-01-06,Direct,North,0
C007606,2024-01-06,Paid Search,North,0
C007391,2024-01-06,Organic,West,0
C006679,2024-01-06,Paid Search,West,0
C005863,2024-01-06,Paid Search,South,0
C005816,2024-01-07,Paid Search,Central,0
C004184,2024-01-07,Social,West,0
C003323,2024-01-07,Email,,0
C002017,2024-01-07,Paid Search,North,0
C007020,2024-01-07,Social,East,0
C003829,2024-01-07,Social,West,0
C001874,2024-01-07,Social,South,1
C005963,2024-01-07,Email,East,0
C004895,2024-01-07,Paid Search,North,0
C001286,2024-01-07,Paid Search,Central,0
C004063,2024-01-08,Direct,South,0
C002693,2024-01-08,Organic,West,0
C000187,2024-01-08,Email,Central,1
C008984,2024-01-08,Organic,North,0
C006377,2024-01-08,Organic,South,0
C005823,2024-01-08,Organic,Central,0
C000215,2024-01-08,Direct,Central,0
C008045,2024-01-08,Email,South,1
C004637,2024-01-08,Paid Search,West,0
C000290,2024-01-08,Email,North,0
C002528,2024-01-08,Organic,South,0
C005299,2024-01-08,Organic,East,0
C001172,2024-01-08,Email,West,0
C005783,2024-01-09,Organic,West,0
C008692,2024-01-09,Paid Search,West,1
C000153,2024-01-09,Paid Search,East,0
C007639,2024-01-09,Paid Search,East,0
C000017,2024-01-09,Social,South,0
C005929,2024-01-09,Email,East,0
C002165,2024-01-09,Direct,North,0
C002409,2024-01-09,Direct,West,1
C003650,2024-01-09,Social,East,0
C008383,2024-01-09,Paid Search,West,0
C004647,2024-01-09,Paid Search,East,0
C007110,2024-01-09,Direct,East,0
C008950,2024-01-10,Organic,North,0
C002787,2024-01-10,Affiliate,Central,0
C000141,2024-01-10,Direct,East,0
C007034,2024-01-10,Affiliate,East,0
C006053,2024-01-10,Affiliate,East,0
C000155,2024-01-10,Paid Search,South,0
C003796,2024-01-10,Paid Search,North,0
C002013,2024-01-10,Social,Central,0
C002597,2024-01-10,Paid Search,West,0
C003734,2024-01-10,Organic,South,0
C002516,2024-01-10,Paid Search,South,0
C001494,2024-01-10,Organic,West,0
C008811,2024-01-10,Paid Search,North,0
C008705,2024-01-10,Social,North,0
C007130,2024-01-10,Paid Search,North,0
C006195,2024-01-10,Paid Search,North,0
C005111,2024-01-11,Email,East,0
C003904,2024-01-11,Email,East,0
C003873,2024-01-11,Organic,North,0
C007155,2024-01-11,Paid Search,East,0
C002207,2024-01-11,Email,North,1
C008632,2024-01-11,Affiliate,North,0
C008078,2024-01-11,Direct,Central,0
C004333,2024-01-11,Paid Search,East,0
C002467,2024-01-11,Email,North,0
C003956,2024-01-11,Paid Search,East,0
C002488,2024-01-11,Organic,West,0
C002903,2024-01-11,Paid Search,North,0
C006839,2024-01-11,Paid Search,South,0
C004382,2024-01-11,Affiliate,West,0
C005573,2024-01-12,Organic,West,0
C001761,2024-01-12,Organic,West,0
C001552,2024-01-12,Paid Search,Central,0
C002244,2024-01-12,Paid Search,West,0
C001166,2024-01-12,Social,South,0
C003687,2024-01-12,Social,East,0
C007339,2024-01-12,Paid Search,North,0
C004487,2024-01-12,Paid Search,South,0
C002998,2024-01-12,Social,Central,0
C000262,2024-01-12,Paid Search,North,0
C002814,2024-01-12,Paid Search,West,0
C008428,2024-01-12,Direct,North,0
C007945,2024-01-12,Organic,East,0
C008599,2024-01-12,Social,North,0
C001258,2024-01-12,Organic,North,0
C007136,2024-01-12,Direct,West,0
C000241,2024-01-12,Affiliate,West,0
C003660,2024-01-13,Email,Central,0
C002387,2024-01-13,Organic,South,0
C001339,2024-01-13,Affiliate,South,0
C005043,2024-01-13,Direct,West,0
C004644,2024-01-13,Affiliate,Central,0
C005235,2024-01-13,Social,East,0
C004231,2024-01-13,Paid Search,North,0
C007128,2024-01-13,Paid Search,South,0
C008371,2024-01-13,Organic,East,0
C001253,2024-01-13,Organic,North,0
C008376,2024-01-13,Paid Search,West,0
C000555,2024-01-13,Organic,North,0
C003044,2024-01-13,Social,West,0
C008820,2024-01-13,Social,North,0
C003156,2024-01-13,Organic,North,0
C006670,2024-01-14,Social,West,0
C003073,2024-01-14,Organic,East,0
C001644,2024-01-14,Social,Central,0
C007354,2024-01-14,Email,North,0
C002912,2024-01-14,Paid Search,West,0
C008832,2024-01-14,Direct,North,0
C006308,2024-01-14,Direct,South,0
C000872,2024-01-14,Organic,East,0
C004261,2024-01-14,Organic,East,0
C008195,2024-01-14,Organic,West,0
C003018,2024-01-14,Paid Search,North,0
C004513,2024-01-14,Affiliate,Central,0
C008917,2024-01-14,Organic,North,0
C005936,2024-01-14,Paid Search,Central,0
C000617,2024-01-15,Social,Central,0
C002295,2024-01-15,Email,North,0
C007922,2024-01-15,Email,South,0
C005904,2024-01-15,Social,West,0
C000548,2024-01-15,Paid Search,West,0
C004971,2024-01-15,Social,South,0
C004451,2024-01-15,Paid Search,Central,0
C005916,2024-01-15,Paid Search,North,0
C004659,2024-01-15,Paid Search,Central,0
C000663,2024-01-15,Email,North,0
C008224,2024-01-15,Paid Search,East,0
C006081,2024-01-15,Email,West,0
C007804,2024-01-15,Affiliate,East,0
C006362,2024-01-15,Direct,West,0
C007325,2024-01-15,Organic,West,0
C003213,2024-01-16,Organic,West,0
C008800,2024-01-16,Email,North,0
C005857,2024-01-16,Affiliate,North,0
C003987,2024-01-16,Organic,West,0
C006148,2024-01-16,Organic,East,0
C005777,2024-01-16,Organic,East,0
C005124,2024-01-16,Direct,East,0
C005277,2024-01-16,Affiliate,North,1
C007791,2024-01-16,Email,Central,0
C005286,2024-01-16,Paid Search,East,0
C005337,2024-01-17,Direct,North,0
C008469,2024-01-17,Paid Search,West,0
C000414,2024-01-17,Email,Central,0
C002401,2024-01-17,Social,East,0
C007666,2024-01-17,Email,North,0
C007706,2024-01-17,Organic,East,0
C008869,2024-01-17,Social,North,0
C006711,2024-01-17,Paid Search,South,0
C006689,2024-01-17,Paid Search,North,1
C004865,2024-01-17,Paid Search,West,0
C008765,2024-01-17,Affiliate,West,0
C003047,2024-01-17,Direct,West,0
C005335,2024-01-17,Affiliate,East,0
C002812,2024-01-17,Organic,North,0
C008210,2024-01-17,Paid Search,South,0
C007304,2024-01-18,Paid Search,East,0
C002090,2024-01-18,Paid Search,South,0
C000759,2024-01-18,Email,East,0
C007958,2024-01-18,Organic,North,0
C002776,2024-01-18,Social,Central,0
C003334,2024-01-18,Social,South,0
C005272,2024-01-18,Organic,Central,0
C001466,2024-01-18,Social,North,0
C000028,2024-01-18,Paid Search,West,0
C002621,2024-01-18,Direct,East,0
C003888,2024-01-18,Organic,Central,0
C003162,2024-01-18,Paid Search,East,0
C007646,2024-01-18,Social,West,0
C002256,2024-01-18,Social,East,0
C000334,2024-01-18,Direct,West,0
C004014,2024-01-18,Email,South,0
C003983,2024-01-18,Paid Search,East,0
C004530,2024-01-18,Paid Search,West,0
C005406,2024-01-18,Paid Search,West,0
C008539,2024-01-19,Paid Search,North,0
C000495,2024-01-19,Affiliate,South,0
C008651,2024-01-19,Social,West,0
C006423,2024-01-19,Paid Search,West,0
C004367,2024-01-19,Organic,South,0
C008686,2024-01-19,Paid Search,East,0
C006010,2024-01-19,Organic,Central,0
C002162,2024-01-19,Paid Search,Central,0
C008221,2024-01-19,Email,North,1
C006213,2024-01-19,Email,Central,0
C008327,2024-01-19,Organic,Central,0
C002127,2024-01-19,Email,North,0
C006454,2024-01-19,Organic,North,0
C005303,2024-01-19,Affiliate,South,0
C001604,2024-01-20,Email,North,1
C002143,2024-01-20,Organic,North,0
C001136,2024-01-20,Paid Search,South,0
C005892,2024-01-20,Organic,West,1
C001983,2024-01-20,Email,North,1
C001839,2024-01-20,Direct,North,0
C000496,2024-01-20,Paid Search,East,0
C004489,2024-01-20,Paid Search,West,0
C000443,2024-01-20,Paid Search,East,0
C007296,2024-01-20,Social,South,0
C006302,2024-01-20,Direct,South,0
C008270,2024-01-20,Social,West,0
C000239,2024-01-20,Email,East,0
C007018,2024-01-21,Direct,North,0
C001207,2024-01-21,Organic,Central,0
C001799,2024-01-21,Organic,North,0
C004896,2024-01-21,Paid Search,South,0
C003746,2024-01-21,Email,South,0
C007519,2024-01-21,Direct,Central,0
C004879,2024-01-21,Organic,North,0
C008818,2024-01-21,Direct,East,1
C000725,2024-01-21,Affiliate,West,0
C005129,2024-01-21,Social,West,0
C002699,2024-01-21,Paid Search,North,0
C006532,2024-01-21,Direct,South,0
C005721,2024-01-21,Organic,Central,0
C006399,2024-01-21,Paid Search,East,0
C000481,2024-01-21,Affiliate,South,0
C004955,2024-01-21,Paid Search,North,0
C007289,2024-01-21,Organic,East,0
C001328,2024-01-22,Direct,North,0
C007264,2024-01-22,Social,South,0
C003386,2024-01-22,Organic,North,0
C005251,2024-01-22,Social,West,0
C008518,2024-01-22,Paid Search,West,1
C006042,2024-01-22,Social,North,0
C006971,2024-01-22,Affiliate,East,1
C000120,2024-01-22,Affiliate,East,0
C005456,2024-01-22,Email,North,0
C002206,2024-01-22,Organic,Central,0
C002094,2024-01-22,Email,West,0
C005635,2024-01-22,Organic,East,0
C007448,2024-01-22,Paid Search,Central,1
C001966,2024-01-22,Organic,Central,0
C006363,2024-01-22,Paid Search,East,0
C003454,2024-01-22,Email,Central,0
C002788,2024-01-22,Paid Search,North,0
C006164,2024-01-22,Affiliate,East,1
C002455,2024-01-22,Email,South,1
C002015,2024-01-22,Organic,West,0
C002316,2024-01-23,Organic,West,0
C007930,2024-01-23,Organic,West,0
C004808,2024-01-23,Paid Search,Central,0
C001534,2024-01-23,Direct,East,0
C005332,2024-01-23,Affiliate,North,0
C000223,2024-01-23,Email,North,0
C003624,2024-01-23,Affiliate,North,0
C000137,2024-01-23,Paid Search,North,0
C003506,2024-01-23,Social,North,0
C007101,2024-01-23,Email,South,0
C004766,2024-01-24,Paid Search,West,1
C006765,2024-01-24,Social,South,0
C002503,2024-01-24,Organic,South,0
C001367,2024-01-24,Paid Search,Central,0
C002000,2024-01-24,Email,West,0
C001065,2024-01-24,Paid Search,South,0
C006982,2024-01-24,Organic,North,0
C001408,2024-01-24,Organic,Central,0
C002230,2024-01-24,Affiliate,North,0
C001004,2024-01-24,Affiliate,North,0
C006499,2024-01-24,Organic,West,0
C002654,2024-01-24,Email,Central,0
C002796,2024-01-24,Direct,West,0
C006204,2024-01-24,Social,Central,0
C007129,2024-01-24,Paid Search,North,0
C000484,2024-01-24,Affiliate,West,0
C004412,2024-01-24,Organic,Central,0
C005930,2024-01-24,Organic,South,0
C004299,2024-01-24,Paid Search,South,0
C002765,2024-01-24,Affiliate,West,1
C004084,2024-01-24,Email,South,0
C003648,2024-01-25,Organic,East,1
C002048,2024-01-25,Paid Search,Central,0
C007503,2024-01-25,Social,North,0
C001569,2024-01-25,Social,East,0
C007566,2024-01-25,Organic,South,0
C005306,2024-01-25,Paid Search,North,0
C002736,2024-01-25,Email,West,0
C001923,2024-01-25,Paid Search,Central,1
C007734,2024-01-25,Organic,Central,0
C008851,2024-01-25,Paid Search,North,0
C001541,2024-01-25,Paid Search,Central,1
C007215,2024-01-25,Paid Search,East,1
C003319,2024-01-25,Email,Central,0
C003527,2024-01-25,Paid Search,North,0
C008994,2024-01-25,Paid Search,North,0
C003055,2024-01-25,Paid Search,South,0
C001321,2024-01-25,Paid Search,South,0
C003933,2024-01-26,Organic,South,0
C003898,2024-01-26,Organic,East,0
C008504,2024-01-26,Paid Search,West,0
C006825,2024-01-26,Paid Search,Central,0
C005576,2024-01-26,Organic,South,0
C001727,2024-01-26,Organic,Central,0
C005161,2024-01-26,Organic,West,0
C004317,2024-01-26,Affiliate,West,0
C002156,2024-01-26,Organic,East,0
C008829,2024-01-26,Paid Search,West,0
C000040,2024-01-26,Organic,North,0
C003484,2024-01-26,Email,South,0
C002356,2024-01-26,Paid Search,East,0
C003669,2024-01-26,Social,Central,0
C006008,2024-01-26,Social,West,0
C003422,2024-01-26,Paid Search,East,0
C000330,2024-01-26,Organic,Central,0
C003127,2024-01-27,Paid Search,South,0
C002569,2024-01-27,Direct,North,1
C000545,2024-01-27,Organic,North,1
C003664,2024-01-27,Social,North,0
C003917,2024-01-27,Direct,Central,0
C002897,2024-01-27,Email,North,0
C008250,2024-01-27,Organic,East,0
C007536,2024-01-27,Email,North,0
C002324,2024-01-27,Social,North,0
C003722,2024-01-27,Organic,South,0
C001962,2024-01-27,Affiliate,Central,0
C001412,2024-01-27,Paid Search,West,0
C001439,2024-01-27,Email,East,0
C005908,2024-01-27,Direct,Central,0
C006235,2024-01-27,Email,North,0
C008976,2024-01-27,Email,West,1
C003828,2024-01-27,Organic,South,0
C005992,2024-01-27,Direct,West,0
C008906,2024-01-27,Organic,North,0
C006712,2024-01-27,Paid Search,West,0
C005949,2024-01-27,Direct,North,0
C007057,2024-01-27,Direct,East,0
C003740,2024-01-28,Social,East,0
C007925,2024-01-28,Organic,Central,0
C001289,2024-01-28,Paid Search,East,0
C004725,2024-01-28,Affiliate,North,0
C002184,2024-01-28,Paid Search,South,1
C008911,2024-01-28,Direct,East,0
C000269,2024-01-28,Direct,Central,0
C000523,2024-01-28,Organic,West,0
C001123,2024-01-28,Social,West,0
C005405,2024-01-28,Direct,Central,0
C004088,2024-01-28,Affiliate,West,0
C001876,2024-01-28,Organic,East,0
C002754,2024-01-28,Social,Central,0
C005207,2024-01-28,Paid Search,Central,0
C007225,2024-01-28,Organic,North,0
C001740,2024-01-28,Paid Search,West,0
C004114,2024-01-28,Paid Search,West,0
C008574,2024-01-29,Social,West,1
C006504,2024-01-29,Paid Search,West,0
C006138,2024-01-29,Organic,Central,0
C006782,2024-01-29,Organic,South,0
C001214,2024-01-29,Email,South,0
C007133,2024-01-29,Affiliate,South,0
C008143,2024-01-29,Social,Central,1
C000612,2024-01-29,Affiliate,East,0
C001632,2024-01-29,Organic,Central,0
C006145,2024-01-29,Organic,East,0
C005148,2024-01-29,Paid Search,East,0
C006047,2024-01-29,Paid Search,North,0
C004986,2024-01-30,Organic,West,0
C003902,2024-01-30,Social,West,0
C005698,2024-01-30,Organic,Central,0
C003866,2024-01-30,Direct,South,0
