order_id,product_id,quantity,unit_price,line_total,cogs
O0000003,P000121,2,173.56,347.12,215.4
O0000003,P000159,2,193.58,387.16,266.22
O0000008,P000016,2,39.55,79.1,56.26
O0000008,P000005,3,237.41,712.23,419.1
O0000009,P000031,3,96.32,288.96,199.56
O0000009,P000205,2,105.36,210.72,148.24
O0000009,P000073,3,143.59,430.77,329.49
O0000009,P000200,3,71.12,213.36,123.42
O0000010,P000121,2,153.49,306.98,215.4
O0000016,P000210,1,108.74,108.74,67.39
O0000016,P000206,1,68.58,68.58,49.43
O0000020,P000132,3,205.17,615.51,391.68
O0000020,P000195,2,56.5,113.0,70.02
O0000020,P000155,2,143.02,286.04,259.28
O0000022,P000157,2,52.19,104.38,71.04
O0000022,P000087,3,132.98,398.94,285.75
O0000022,P000220,1,131.92,131.92,105.61
O0000023,P000109,2,160.16,320.32,198.44
O0000023,P000091,1,42.42,42.42,25.07
O0000030,P000061,2,67.98,135.96,100.06
O0000033,P000023,3,100.61,301.83,225.51
O0000033,P000146,3,176.67,530.01,364.56
O0000035,P000206,2,68.58,137.16,98.86
O0000035,P000128,2,40.71,81.42,59.6
O0000038,P000117,3,79.44,238.32,167.79
O0000038,P000021,2,63.5,127.0,89.16
O0000038,P000039,2,110.39,220.78,150.26
O0000039,P000153,1,29.01,29.01,18.02
O0000039,P000055,1,103.25,103.25,82.15
O0000041,P000084,2,117.97,235.94,192.04
O0000041,P000172,2,183.34,366.68,218.24
O0000041,P000098,3,8.88,26.64,19.5
O0000042,P000090,2,115.66,231.32,181.04
O0000042,P000174,3,80.62,241.86,154.26
O0000047,P000120,1,71.33,71.33,50.75
O0000047,P000132,3,205.17,615.51,391.68
O0000047,P000161,2,167.58,335.16,276.36
O0000048,P000202,3,67.22,201.66,130.11
O0000048,P000174,1,80.62,80.62,51.42
O0000048,P000199,2,50.43,100.86,64.3
O0000056,P000095,3,185.01,555.03,400.14
O0000058,P000165,3,35.61,106.83,69.3
O0000058,P000023,3,100.61,301.83,225.51
O0000058,P000085,1,157.08,157.08,109.32
O0000058,P000168,2,51.43,102.86,93.0
O0000065,P000008,1,119.97,119.97,81.55
O0000070,P000059,1,42.4,42.4,34.58
O0000075,P000116,3,118.02,354.06,251.94
O0000075,P000133,3,187.12,561.36,417.96
O0000075,P000202,2,67.22,134.44,86.74
O0000081,P000083,2,88.83,177.66,115.42
O0000081,P000144,3,20.82,62.46,40.62
O0000081,P000128,1,46.36,46.36,29.8
O0000089,P000014,2,142.15,284.3,186.38
O0000089,P000208,3,90.75,272.25,183.24
O0000089,P000118,3,142.59,427.77,271.62
O0000089,P000061,2,67.98,135.96,100.06
O0000090,P000211,2,122.08,244.16,152.66
O0000090,P000082,3,108.66,325.98,189.66
O0000090,P000027,3,8.95,26.85,19.5
O0000091,P000042,3,153.63,460.89,319.71
O0000091,P000086,1,58.31,58.31,35.01
O0000092,P000002,1,48.7,48.7,34.02
O0000093,P000166,3,123.53,370.59,222.18
O0000093,P000122,1,68.44,68.44,43.53
O0000098,P000062,1,226.91,226.91,126.28
O0000098,P000052,2,195.36,390.72,250.9
O0000098,P000038,3,150.64,451.92,299.01
O0000098,P000147,2,160.43,320.86,185.16
O0000100,P000191,3,94.4,283.2,168.3
O0000100,P000197,1,45.2,45.2,28.01
O0000100,P000106,2,107.24,214.48,123.76
O0000100,P000194,3,182.77,548.31,324.69
O0000102,P000014,2,132.31,264.62,186.38
O0000102,P000024,1,110.76,110.76,66.06
O0000107,P000051,3,59.73,179.19,144.72
O0000107,P000060,3,19.54,58.62,33.6
O0000107,P000214,2,15.6,31.2,22.06
O0000107,P000004,3,61.41,184.23,117.9
O0000108,P000193,2,62.5,125.0,96.28
O0000108,P000174,3,80.62,241.86,154.26
O0000108,P000105,3,64.7,194.1,139.59
O0000109,P000043,2,9.11,18.22,12.62
O0000111,P000083,1,88.83,88.83,57.71
O0000111,P000002,2,48.7,97.4,68.04
O0000111,P000138,3,14.64,43.92,30.18
O0000111,P000011,1,213.66,213.66,138.79
O0000116,P000026,3,55.64,166.92,113.94
O0000116,P000030,3,87.03,261.09,192.51
O0000119,P000021,2,63.5,127.0,89.16
O0000119,P000064,1,161.85,161.85,113.1
O0000119,P000104,1,145.45,145.45,111.46
O0000119,P000087,3,132.98,398.94,285.75
O0000123,P000120,3,74.55,223.65,152.25
O0000123,P000112,2,7.78,15.56,10.02
O0000123,P000002,3,48.7,146.1,102.06
O0000123,P000086,3,58.31,174.93,105.03
O0000128,P000006,1,127.78,127.78,81.62
O0000128,P000014,1,142.15,142.15,93.19
O0000130,P000130,3,165.68,497.04,285.18
O0000130,P000067,1,134.32,134.32,86.93
O0000130,P000062,1,226.91,226.91,126.28
O0000130,P000047,3,211.23,633.69,400.5
O0000133,P000190,2,108.68,217.36,153.86
O0000133,P000128,1,40.48,40.48,29.8
O0000135,P000055,1,103.25,103.25,82.15
O0000137,P000017,2,129.33,258.66,158.72
O0000137,P000087,2,132.98,265.96,190.5
O0000138,P000184,2,198.0,396.0,260.64
O0000140,P000146,1,176.67,176.67,121.52
O0000140,P000216,2,174.5,349.0,247.98
O0000142,P000165,2,34.24,68.48,46.2
O0000142,P000184,1,184.88,184.88,130.32
O0000142,P000219,2,115.81,231.62,129.02
O0000142,P000146,2,176.67,353.34,243.04
O0000144,P000004,1,61.41,61.41,39.3
O0000144,P000042,2,153.63,307.26,213.14
O0000144,P000009,2,165.69,331.38,230.02
O0000144,P000036,1,146.96,146.96,114.78
O0000148,P000140,1,129.81,129.81,105.58
O0000152,P000142,3,195.51,586.53,369.24
O0000152,P000212,3,66.35,199.05,158.4
O0000152,P000116,1,118.02,118.02,83.98
O0000152,P000180,1,172.02,172.02,135.45
O0000155,P000021,1,63.5,63.5,44.58
O0000155,P000186,2,36.72,73.44,59.86
O0000159,P000058,1,111.12,111.12,86.2
O0000159,P000018,1,152.9,152.9,118.6
O0000159,P000009,1,141.78,141.78,115.01
O0000161,P000217,1,180.42,180.42,124.78
O0000161,P000088,1,88.46,88.46,62.93
O0000161,P000138,2,15.57,31.14,20.12
O0000164,P000010,2,91.65,183.3,106.74
O0000164,P000131,3,51.84,155.52,127.95
O0000164,P000197,1,45.2,45.2,28.01
O0000169,P000129,2,191.34,382.68,266.4
O0000169,P000072,2,31.58,63.16,44.6
O0000172,P000213,3,125.43,376.29,277.38
O0000172,P000203,1,152.86,152.86,121.76
O0000172,P000008,2,119.97,239.94,163.1
O0000175,P000069,3,202.06,606.18,397.86
O0000175,P000070,3,133.12,399.36,302.64
O0000175,P000180,1,172.02,172.02,135.45
O0000175,P000203,2,168.85,337.7,243.52
O0000179,P000163,3,62.87,188.61,135.03
O0000181,P000025,3,162.85,488.55,298.23
O0000181,P000039,1,110.39,110.39,75.13
O0000181,P000060,2,19.54,39.08,22.4
O0000181,P000211,1,122.08,122.08,76.33
O0000184,P000099,3,89.49,268.47,149.82
O0000202,P000156,1,152.88,152.88,120.89
O0000202,P000203,1,168.85,168.85,121.76
O0000202,P000039,3,110.39,331.17,225.39
O0000203,P000095,2,185.01,370.02,266.76
O0000205,P000071,2,13.16,26.32,16.68
O0000205,P000046,2,181.44,362.88,234.9
O0000205,P000006,1,127.78,127.78,81.62
O0000205,P000026,1,55.64,55.64,37.98
O0000213,P000040,3,58.35,175.05,123.36
O0000213,P000190,1,108.68,108.68,76.93
O0000213,P000173,2,180.17,360.34,260.76
O0000213,P000118,1,129.23,129.23,90.54
O0000215,P000047,1,211.23,211.23,133.5
O0000215,P000148,1,87.71,87.71,57.9
O0000219,P000017,2,129.33,258.66,158.72
O0000219,P000148,1,87.71,87.71,57.9
O0000225,P000166,3,123.53,370.59,222.18
O0000225,P000034,2,159.16,318.32,246.06
O0000228,P000152,2,50.19,100.38,68.72
O0000228,P000104,1,145.45,145.45,111.46
O0000228,P000090,2,115.66,231.32,181.04
O0000228,P000084,2,117.97,235.94,192.04
O0000229,P000111,2,87.61,175.22,119.9
O0000229,P000077,2,54.81,109.62,68.22
O0000229,P000152,2,50.19,100.38,68.72
O0000229,P000109,2,160.16,320.32,198.44
O0000236,P000081,3,33.16,99.48,71.82
O0000236,P000050,1,123.33,123.33,83.84
O0000236,P000023,1,100.61,100.61,75.17
O0000238,P000064,3,161.85,485.55,339.3
O0000238,P000156,1,152.88,152.88,120.89
O0000238,P000024,2,110.76,221.52,132.12
O0000240,P000118,2,142.59,285.18,181.08
O0000240,P000117,3,93.0,279.0,167.79
O0000240,P000153,2,29.01,58.02,36.04
O0000240,P000129,2,191.34,382.68,266.4
O0000244,P000204,3,193.37,580.11,340.08
O0000244,P000035,2,105.63,211.26,137.94
O0000245,P000178,3,155.17,465.51,289.35
O0000245,P000095,2,185.01,370.02,266.76
O0000245,P000003,3,143.71,431.13,262.59
O0000245,P000051,3,59.73,179.19,144.72
O0000252,P000196,3,18.21,54.63,35.43
O0000254,P000082,3,108.66,325.98,189.66
O0000264,P000055,1,103.25,103.25,82.15
O0000269,P000007,3,37.9,113.7,87.54
O0000269,P000080,3,50.15,150.45,124.23
O0000269,P000187,3,89.77,269.31,157.89
O0000272,P000077,1,54.81,54.81,34.11
O0000272,P000010,3,80.83,242.49,160.11
O0000272,P000185,3,181.06,543.18,418.59
O0000273,P000156,2,152.88,305.76,241.78
O0000273,P000090,1,115.66,115.66,90.52
O0000273,P000064,2,161.85,323.7,226.2
O0000275,P000200,2,71.12,142.24,82.28
O0000282,P000067,1,134.32,134.32,86.93
O0000287,P000067,3,120.11,360.33,260.79
O0000287,P000101,3,89.95,269.85,168.3
O0000287,P000163,1,62.87,62.87,45.01
O0000289,P000083,3,88.83,266.49,173.13
O0000289,P000067,3,134.32,402.96,260.79
O0000289,P000116,2,118.02,236.04,167.96
O0000294,P000071,2,13.16,26.32,16.68
O0000294,P000035,2,105.63,211.26,137.94
O0000294,P000002,1,48.7,48.7,34.02
O0000294,P000147,1,160.43,160.43,92.58
O0000295,P000134,2,120.63,241.26,138.56
O0000295,P000179,1,24.92,24.92,20.08
O0000295,P000185,2,181.06,362.12,279.06
O0000295,P000098,1,8.88,8.88,6.5
O0000296,P000182,3,162.81,488.43,292.98
O0000296,P000169,1,184.78,184.78,110.53
O0000311,P000191,2,90.15,180.3,112.2
O0000311,P000070,1,133.12,133.12,100.88
O0000311,P000168,3,59.75,179.25,139.5
O0000312,P000107,3,66.3,198.9,146.67
O0000312,P000169,2,184.78,369.56,221.06
