order_id,customer_id,order_date,attribution_channel,status,shipping_cost,discount_amount
O0003696,C006235,2024-03-13 18:00:00,Organic,fulfilled,3.96,0.0
O0013399,C008133,2024-08-28 01:00:00,Paid Search,fulfilled,4.78,0.0
O0020530,C000166,2024-12-17 14:00:00,Direct,fulfilled,3.85,0.0
O0014628,C005573,2024-09-17 04:00:00,Affiliate,fulfilled,3.43,0.0
O0029031,C001168,2025-04-15 13:00:00,Organic,fulfilled,4.0,0.0
O0006818,C004548,2024-05-08 02:00:00,Paid Search,fulfilled,2.87,0.0
O0010048,C004651,2024-07-04 01:00:00,Paid Search,fulfilled,3.09,0.0
O0034447,C004706,2025-06-28 10:00:00,Affiliate,fulfilled,3.22,4.16
O0013367,C002071,2024-08-28 12:00:00,Direct,fulfilled,3.84,8.11
O0035222,C008359,2025-07-07 12:00:00,Paid Search,fulfilled,4.63,0.0
O0020851,C008467,2024-12-21 03:00:00,Paid Search,fulfilled,2.65,0.0
O0007435,C000187,2024-05-19 14:00:00,Paid Search,fulfilled,3.69,0.0
O0019218,C000923,2024-11-27 10:00:00,Paid Search,pending,3.66,2.82
O0015050,C007647,2024-09-23 10:00:00,Organic,fulfilled,2.73,0.0
O0030135,C006642,2025-04-29 01:00:00,Paid Search,fulfilled,3.75,0.0
O0032295,C005390,2025-05-28 00:00:00,Paid Search,fulfilled,3.98,0.0
O0024953,C008428,2025-02-18 00:00:00,Direct,fulfilled,3.99,2.94
O0010862,C004205,2024-07-18 15:00:00,Email,pending,3.27,18.17
O0005504,C003312,2024-04-14 00:00:00,Paid Search,fulfilled,5.63,0.0
O0035628,C002094,2025-07-12 11:00:00,Paid Search,fulfilled,4.48,11.45
O0005774,C005417,2024-04-19 10:00:00,Direct,fulfilled,4.54,8.66
O0017927,C008661,2024-11-07 06:00:00,Paid Search,fulfilled,5.98,0.0
O0036839,C002520,2025-07-28 07:00:00,Affiliate,fulfilled,1.63,0.0
O0029991,C004997,2025-04-27 09:00:00,Social,fulfilled,5.1,0.0
O0013976,C002127,2024-09-06 23:00:00,Paid Search,fulfilled,3.71,8.99
O0032446,C003119,2025-05-31 01:00:00,Email,fulfilled,2.74,0.0
O0033300,C007478,2025-06-12 04:00:00,Direct,canceled,1.88,0.0
