return_id,order_id,product_id,quantity,refund_amount,return_date,reason
R0007220,O0007220,P000189,2,292.22,2024-05-29,Defective
R0028109,O0028109,P000085,2,314.16,2025-04-04,Late delivery
R0032211,O0032211,P000216,3,523.5,2025-05-31,Wrong item
R0003256,O0003256,P000198,1,155.23,2024-03-19,Defective
R0025704,O0025704,P000036,2,293.92,2025-03-07,Late delivery
R0025985,O0025985,P000043,3,27.33,2025-03-21,Defective
R0010892,O0010892,P000123,2,26.68,2024-07-25,Changed mind
R0035469,O0035469,P000184,1,190.95,2025-07-17,Wrong item
R0005271,O0005271,P000192,1,185.35,2024-04-21,Changed mind
R0025272,O0025272,P000180,1,172.02,2025-03-07,Late delivery
R0035801,O0035801,P000192,2,370.7,2025-08-02,Changed mind
R0027049,O0027049,P000082,3,297.06,2025-04-11,Changed mind
R0022345,O0022345,P000043,1,9.11,2025-01-17,Defective
R0019208,O0019208,P000220,1,131.92,2024-11-30,Wrong item
R0023036,O0023036,P000061,1,67.98,2025-02-06,Too small
R0001560,O0001560,P000105,1,64.7,2024-02-05,Too small
R0010440,O0010440,P000193,1,62.5,2024-08-08,Defective
R0018433,O0018433,P000157,1,52.19,2024-12-13,Too small
R0031306,O0031306,P000161,2,289.02,2025-05-26,Defective
R0023576,O0023576,P000072,3,82.59,2025-02-05,Defective
R0001991,O0001991,P000128,2,92.72,2024-02-18,Wrong item
R0006897,O0006897,P000060,1,19.54,2024-06-02,Defective
R0029537,O0029537,P000054,2,18.96,2025-04-24,Late delivery
R0029927,O0029927,P000186,1,36.72,2025-04-29,Too small
R0003846,O0003846,P000172,1,183.34,2024-04-14,Wrong item
R0001400,O0001400,P000187,1,89.77,2024-02-04,Changed mind
R0033974,O0033974,P000060,1,19.54,2025-06-28,Wrong item
R0035556,O0035556,P000145,1,87.36,2025-07-17,Defective
R0025466,O0025466,P000060,1,19.54,2025-03-20,Defective
R0001721,O0001721,P000196,1,18.21,2024-02-19,Too small
R0011132,O0011132,P000007,2,75.8,2024-08-16,Wrong item
R0031412,O0031412,P000153,2,58.02,2025-05-25,Defective
R0020317,O0020317,P000078,2,152.48,2025-01-06,Changed mind
R0004015,O0004015,P000051,1,59.73,2024-04-02,Wrong item
R0031349,O0031349,P000004,1,61.41,2025-05-20,Late delivery
R0009920,O0009920,P000079,2,227.22,2024-07-27,Too small
R0009766,O0009766,P000021,1,63.5,2024-07-15,Late delivery
R0012311,O0012311,P000084,1,103.39,2024-08-29,Wrong item
R0000244,O0000244,P000204,3,580.11,2024-02-03,Late delivery
R0037010,O0037010,P000124,1,38.14,2025-08-10,Too small
R0026213,O0026213,P000037,3,487.02,2025-04-06,Defective
R0003749,O0003749,P000167,1,93.41,2024-03-31,Late delivery
R0018380,O0018380,P000101,3,269.85,2024-11-23,Defective
R0000838,O0000838,P000100,1,172.57,2024-01-22,Too small
